City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
217,Tessalit,ML,2022-05-04 15:57:26,20.1986,1.0114,99.59,6,98,6.35
218,Asyut,EG,2022-05-04 15:57:27,27.181,31.1837,84.38,17,2,13.85
219,Aska,IN,2022-05-04 15:57:27,19.6061,84.6725,82.94,71,17,5.21
220,Quelimane,MZ,2022-05-04 15:57:27,-17.8786,36.8883,75.15,83,40,9.22
221,Saint-Pierre,RE,2022-05-04 15:57:28,-21.3393,55.4781,75.9,85,100,13.8
222,Shelburne,CA,2022-05-04 15:57:28,44.0787,-80.2041,52.75,99,100,12.71
223,Calamar,CO,2022-05-04 15:57:28,10.2511,-74.9146,94.37,47,97,6.69
224,Karaman,TR,2022-05-04 15:57:29,37.0833,33.25,56.97,60,44,17.63
225,Arkhipo-Osipovka,RU,2022-05-04 15:57:29,44.37,38.52,55.8,80,100,7.52
226,Tarko-Sale,RU,2022-05-04 15:57:29,64.9225,77.785,38.62,89,100,26.73
227,Olinda,BR,2022-05-04 15:57:30,-8.0089,-34.8553,85.73,74,75,13.8
228,Caetes,BR,2022-05-04 15:57:30,-8.7731,-36.6225,84.54,42,70,12.84
229,Comodoro Rivadavia,AR,2022-05-04 15:52:54,-45.8667,-67.5,60.66,51,0,23.02
230,Nizhniy Baskunchak,RU,2022-05-04 15:57:31,48.2198,46.8311,60.87,32,3,1.74
231,Buta,CD,2022-05-04 15:58:31,2.7858,24.73,83.37,62,80,3.0
232,Puri,IN,2022-05-04 15:58:31,19.8,85.85,84.72,85,45,9.13
233,Shihezi,CN,2022-05-04 15:58:32,44.3,86.0333,74.5,38,100,10.27
234,Nukus,UZ,2022-05-04 15:58:32,42.4531,59.6103,69.78,68,0,4.61
235,Kibala,TD,2022-05-04 15:58:32,9.1104,18.3463,97.72,28,75,5.68
236,Santa Isabel Do Rio Negro,BR,2022-05-04 15:58:33,-0.4139,-65.0192,75.42,98,100,4.07
