City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
272,Boa Vista,BR,78.78,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
275,Sharjah,AE,89.58,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
277,Larreynaga,NI,84.16,overcast clouds,12.6769,-86.5719,Finca El Carrizal
281,Tutoia,BR,78.55,overcast clouds,-2.7619,-42.2744,Pousada Guará's
282,Saquarema,BR,73.44,clear sky,-22.92,-42.5103,Hotel Fazenda Sol e Lua
285,Junagadh,IN,79.3,clear sky,21.5167,70.4667,Click Hotel Junagadh
291,Maragogi,BR,77.79,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
296,Tabou,CI,81.55,broken clouds,4.423,-7.3528,hotêl doufoulougou
302,Santa Rosa,PH,84.09,scattered clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
305,Nacala,MZ,71.13,few clouds,-14.5428,40.6728,Nacala Plaza Business Design Hotel
306,Umm Lajj,SA,74.05,clear sky,25.0213,37.2685,Moon light Furnished Units
310,Port-Gentil,GA,82.36,thunderstorm,-0.7193,8.7815,Fengshui Residence
313,Oranjestad,AW,82.35,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
318,Makurdi,NG,78.12,overcast clouds,7.7411,8.5121,Doo Palace Hotel
319,Puerto Carreno,CO,75.18,heavy intensity rain,6.189,-67.4859,Casa Hotel Victoria
320,Jalu,LY,75.47,overcast clouds,29.0331,21.5482,صاحبة الفخامة
321,Sosua,DO,84.18,scattered clouds,19.7667,-70.5167,Piergiorgio Palace Hotel
323,Deogarh,IN,75.88,clear sky,21.5333,84.7333,Amit Henej House
328,Kalemie,CD,71.1,scattered clouds,-5.9475,29.1947,Mahobilali
329,Shorkot,PK,87.19,clear sky,31.9099,70.8774,Saggu Janubi
333,Buchanan,LR,77.67,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
334,Puerto Baquerizo Moreno,EC,79.79,broken clouds,-0.9,-89.6,Hotel los Algarrobos
336,Tukrah,LY,73.02,scattered clouds,32.5341,20.5791,Lagrota restaurant
341,Road Town,VG,80.69,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
342,Nizwa,OM,76.68,clear sky,22.9333,57.5333,Orient Apartments
348,Atar,MR,86.94,clear sky,20.5169,-13.0499,Oumou Elghoura
350,Dhidhdhoo,MV,83.7,overcast clouds,6.8833,73.1,Dhidhoo beach
351,Sinnamary,GF,76.73,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
362,Mbaiki,CF,70.25,light rain,3.8678,17.9892,Motel MBM
365,The Valley,AI,80.46,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
376,Cap Malheureux,MU,77.88,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
377,San Francisco,US,74.52,broken clouds,37.7749,-122.4194,Edwardian Hotel
379,Karaton,ID,74.55,scattered clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
382,Marsh Harbour,BS,79.45,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
384,Omboue,GA,78.37,moderate rain,-1.5746,9.2618,Hotel Olako
385,Quatre Cocos,MU,73.51,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
388,Alta Floresta,BR,74.77,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
396,Barreirinhas,BR,77.09,broken clouds,-2.7469,-42.8264,Gran Lençóis Flat Residence
