City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
163,Beisfjord,NO,68.3751,17.5988,43.05,96,100,7.14,light rain
164,Khvorostyanka,RU,52.6096,48.9597,39.11,55,0,3.67,clear sky
165,Tupancireta,BR,-29.0806,-53.8358,54.73,90,100,5.53,overcast clouds
166,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.84,71,27,14.88,scattered clouds
167,Adrar,MR,20.5022,-10.0711,84.16,14,3,9.17,clear sky
168,Oriximina,BR,-1.7656,-55.8661,76.73,93,39,3.76,scattered clouds
169,Flic En Flac,MU,-20.2742,57.3631,73.96,68,4,13.06,clear sky
170,Banda Aceh,ID,5.5577,95.3222,80.42,77,100,12.12,overcast clouds
171,Leninskoye,KZ,41.7589,69.3864,63.45,59,13,4.99,few clouds
172,Hambantota,LK,6.1241,81.1185,79.99,87,100,11.05,overcast clouds
173,Faya,SA,18.3851,42.4509,66.31,58,29,1.5,scattered clouds
174,Jacareacanga,BR,-6.2222,-57.7528,75.27,95,56,2.84,moderate rain
175,Bandarbeyla,SO,9.4942,50.8122,81.0,90,40,8.12,scattered clouds
176,Puerto Colombia,CO,10.9878,-74.9547,80.69,85,100,3.15,overcast clouds
177,Salalah,OM,17.0151,54.0924,82.49,83,75,3.44,broken clouds
178,Lucapa,AO,-8.4192,20.7447,69.51,73,100,1.54,overcast clouds
179,Nawada,IN,24.8833,85.5333,83.14,53,6,6.29,clear sky
180,Marawi,PH,7.9986,124.2928,71.46,84,75,1.32,broken clouds
181,Pangnirtung,CA,66.1451,-65.7125,14.0,85,20,8.05,few clouds
182,Rio Gallegos,AR,-51.6226,-69.2181,48.25,71,0,24.16,clear sky
183,Sosnogorsk,RU,63.6023,53.8817,31.8,96,100,7.54,overcast clouds
184,Vadso,NO,70.0744,29.7487,40.08,75,75,3.44,broken clouds
185,Seminole,US,28.7086,-81.2081,91.98,42,0,17.27,clear sky
186,Port Blair,IN,11.6667,92.75,81.36,83,99,12.08,overcast clouds
187,Bonthe,SL,7.5264,-12.505,80.55,85,27,6.22,scattered clouds
188,Alexandria,EG,31.2156,29.9553,64.36,72,0,9.22,clear sky
189,Kamenka,RU,51.3223,42.7678,39.29,59,1,5.86,clear sky
190,Dingle,PH,10.9995,122.6711,81.36,82,30,8.86,scattered clouds
191,Nouadhibou,MR,20.931,-17.0347,66.18,82,0,16.11,clear sky
192,Codrington,AU,-38.2667,141.9667,52.59,89,80,10.65,broken clouds
193,Pitimbu,BR,-7.4706,-34.8086,79.39,82,14,11.86,few clouds
194,Alegrete,BR,-29.7831,-55.7919,58.98,86,100,5.88,overcast clouds
195,Eeklo,BE,51.187,3.5565,57.09,81,98,7.09,overcast clouds
196,Takoradi,GH,4.8845,-1.7554,76.3,84,100,7.54,overcast clouds
197,Mukhtolovo,RU,55.4644,43.1953,37.72,70,10,7.05,clear sky
198,Tasiilaq,GL,65.6145,-37.6368,26.76,66,8,4.05,clear sky
199,Belmonte,BR,-15.8631,-38.8828,77.02,77,71,7.65,broken clouds
200,Bet Shemesh,IL,31.7496,34.9888,58.59,100,0,4.07,clear sky
201,Honningsvag,NO,70.9821,25.9704,38.95,87,100,17.27,light rain
202,Erseke,AL,40.3378,20.6789,47.53,89,100,6.33,overcast clouds
203,Hella,NO,67.2,14.4333,44.76,70,75,31.07,broken clouds
204,Sao Desiderio,BR,-12.3633,-44.9733,81.03,50,95,3.04,overcast clouds
205,Florianopolis,BR,-27.6146,-48.5012,65.43,64,40,4.61,scattered clouds
206,Vardo,NO,70.3705,31.1107,39.16,94,99,13.58,overcast clouds
207,Necochea,AR,-38.5473,-58.7368,57.09,75,23,5.03,few clouds
208,Bom Jesus,BR,-9.0744,-44.3586,81.54,37,35,4.47,scattered clouds
209,Stornoway,GB,58.2093,-6.3865,42.93,88,100,0.0,overcast clouds
210,Tivaouane,SN,14.9515,-16.8129,75.54,56,0,16.4,clear sky
211,Plettenberg Bay,ZA,-34.0527,23.3716,59.95,87,90,6.24,light rain
212,Albany,US,42.6001,-73.9662,59.65,61,100,3.33,overcast clouds
213,Coquimbo,CL,-29.9533,-71.3436,56.93,88,75,10.36,broken clouds
214,Bognor Regis,GB,50.7821,-0.6798,58.01,81,100,6.11,light rain
